stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
06126000068,,Esc. Tec. Rocca (Col. Sur RN. 9),,-34.20012,-58.937933,,,,,America/Argentina/Buenos_Aires,
06126000069,,Col. Sur RN. 9 y Aguiar,,-34.203758,-58.935062,,,,,America/Argentina/Buenos_Aires,
06126000070,,Col. Sur RN. 9 y Fremi,,-34.204904,-58.934198,,,,,America/Argentina/Buenos_Aires,
06126000071,,Col. Sur RN. 9 y Vicente de Marco,,-34.20863,-58.931537,,,,,America/Argentina/Buenos_Aires,
06126000072,,Col. Sur RN. 9 y Jacinto Fernández (Bº San Jacinto),,-34.223438,-58.92099,,,,,America/Argentina/Buenos_Aires,
06126000073,,Col. Sur RN. 9 y Pasarela Cordero (Colinas de Otamendi),,-34.230264,-58.916299,,,,,America/Argentina/Buenos_Aires,
06126000074,,Col. Sur RN. 9 y Atahualpa Yupanqui,,-34.238577,-58.910135,,,,,America/Argentina/Buenos_Aires,
06126000075,,Bº Las Praderas (Col. Sur RN. 9),,-34.247444,-58.908304,,,,,America/Argentina/Buenos_Aires,
06126000076,,Bº El Bosque (Col. Sur RN. 9),,-34.251124,-58.907706,,,,,America/Argentina/Buenos_Aires,
06126000077,,Col. Este R. Escobar y Av. San Martin (Río Luján),,-34.281729,-58.892265,,,,,America/Argentina/Buenos_Aires,
06126000078,,Bº Las Praderas (Col. Norte RN. 9),,-34.247487,-58.907482,,,,,America/Argentina/Buenos_Aires,
06126000079,,Col. Norte RN. 9 y Errecart,,-34.23692,-58.910091,,,,,America/Argentina/Buenos_Aires,
06126000080,,Col. Norte RN. 9 y Cordero (Colinas de Otamendi),,-34.230035,-58.915122,,,,,America/Argentina/Buenos_Aires,
06126000081,,Puente Otamendi (Col. Sur RN. 9),,-34.227904,-58.918058,,,,,America/Argentina/Buenos_Aires,
06134000001,,Pereda y Máximo Paz,,-34.938787,-58.618178,,,,,America/Argentina/Buenos_Aires,
06134000002,,Pereda y San Eduardo,,-34.941064,-58.616387,,,,,America/Argentina/Buenos_Aires,
