trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
108HI1,108,HI,A - a Retiro,022A,1,,1081,,
108SI0,108,SI,A - a Cno. Centenario y Lavalleja,022A,0,,1080,,
108SI1,108,SI,A - a Retiro,022A,1,,1081,,
1090DI0,1090,DI,a Est. TORCUATO,371D,0,,10900,,
1090DI1,1090,DI,a VIRREyES ACASSUSO,371D,1,,10901,,
1090FI0,1090,FI,a Est. TORCUATO,371D,0,,10900,,
1090FI1,1090,FI,a VIRREyES ACASSUSO,371D,1,,10901,,
1090HI0,1090,HI,a Est. TORCUATO,371D,0,,10900,,
1090HI1,1090,HI,a VIRREyES ACASSUSO,371D,1,,10901,,
1090SI0,1090,SI,a Est. TORCUATO,371D,0,,10900,,
1090SI1,1090,SI,a VIRREyES ACASSUSO,371D,1,,10901,,
1091DI0,1091,DI,a Panamericana PTE. MELO,371E,0,,10910,,
1091DI1,1091,DI,a Est. TORCUATO,371E,1,,10911,,
1091FI0,1091,FI,a Panamericana PTE. MELO,371E,0,,10910,,
1091FI1,1091,FI,a Est. TORCUATO,371E,1,,10911,,
1091HI0,1091,HI,a Panamericana PTE. MELO,371E,0,,10910,,
1091HI1,1091,HI,a Est. TORCUATO,371E,1,,10911,,
1091SI0,1091,SI,a Panamericana PTE. MELO,371E,0,,10910,,
1091SI1,1091,SI,a Est. TORCUATO,371E,1,,10911,,
109HI0,109,HI,B - a Est. Quilmes,022B,0,,1090,,
109HI1,109,HI,B - a Retiro,022B,1,,1091,,
1107DI0,1107,DI,Ramal A - IDA,278A,0,,11070,,
1107DI1,1107,DI,Ramal A - VUELTA,278A,1,,11071,,
1107FI0,1107,FI,Ramal A - IDA,278A,0,,11070,,
1107FI1,1107,FI,Ramal A - VUELTA,278A,1,,11071,,
1107HI0,1107,HI,Ramal A - IDA,278A,0,,11070,,
1107HI1,1107,HI,Ramal A - VUELTA,278A,1,,11071,,
1107SI0,1107,SI,Ramal A - IDA,278A,0,,11070,,
1107SI1,1107,SI,Ramal A - VUELTA,278A,1,,11071,,
1111DI0,1111,DI,Ramal L - IDA,281L,0,,11110,,
1111DI1,1111,DI,Ramal L - VUELTA,281L,1,,11111,,
1111FI0,1111,FI,Ramal L - IDA,281L,0,,11110,,
1111FI1,1111,FI,Ramal L - VUELTA,281L,1,,11111,,
1111HI0,1111,HI,Ramal L - IDA,281L,0,,11110,,
1111HI1,1111,HI,Ramal L - VUELTA,281L,1,,11111,,
1111SI0,1111,SI,Ramal L - IDA,281L,0,,11110,,
1111SI1,1111,SI,Ramal L - VUELTA,281L,1,,11111,,
1114DI0,1114,DI,Ramal Rojo - IDA,585A,0,,11140,,
1114DI1,1114,DI,Ramal Rojo - VUELTA,585A,1,,11141,,
1114FI0,1114,FI,Ramal Rojo - IDA,585A,0,,11140,,
1114FI1,1114,FI,Ramal Rojo - VUELTA,585A,1,,11141,,
1114HI0,1114,HI,Ramal Rojo - IDA,585A,0,,11140,,
1114HI1,1114,HI,Ramal Rojo - VUELTA,585A,1,,11141,,
1114SI0,1114,SI,Ramal Rojo - IDA,585A,0,,11140,,
1114SI1,1114,SI,Ramal Rojo - VUELTA,585A,1,,11141,,
1115DI0,1115,DI,Ramal Verde - IDA,585B,0,,11150,,
1115DI1,1115,DI,Ramal Verde - VUELTA,585B,1,,11151,,
1115FI0,1115,FI,Ramal Verde - IDA,585B,0,,11150,,
1115FI1,1115,FI,Ramal Verde - VUELTA,585B,1,,11151,,
1115HI0,1115,HI,Ramal Verde - IDA,585B,0,,11150,,
1115HI1,1115,HI,Ramal Verde - VUELTA,585B,1,,11151,,
1115SI0,1115,SI,Ramal Verde - IDA,585B,0,,11150,,
1115SI1,1115,SI,Ramal Verde - VUELTA,585B,1,,11151,,
111DI0,111,DI,a V. Adelina x C. Larralde y Maipu,071A,0,,1110,,
111DI1,111,DI,a Miserere x C. Larralde y Maipu,071A,1,,1111,,
